Code,Description
"1000101","Afognak Lake, AK: Afognak Lake Airport"
"1000301","Granite Mountain, AK: Bear Creek Mining Strip"
"1000401","Lik, AK: Lik Mining Camp"
"1000501","Little Squaw, AK: Little Squaw Airport"
"1000601","Kizhuyak, AK: Kizhuyak Bay"
"1000701","Klawock, AK: Klawock Seaplane Base"
"1000801","Elizabeth Island, AK: Elizabeth Island Airport"
"1000901","Homer, AK: Augustin Island"
"1001001","Hudson, NY: Columbia County"
"1001002","Hudson, NY: Columbia County"
"1001101","Peach Springs, AZ: Grand Canyon West"
"1001102","Peach Springs, AZ: Grand Canyon West"
"1001201","Blairstown, NJ: Blairstown Airport"
"1001301","Crosbyton, TX: Crosbyton Municipal"
"1001401","Fairbanks/Ft. Wainwright, AK: Blair Lake"
"1001402","Fairbanks/Ft. Wainwright, AK: Blair Lake"
"1001501","Deadmans Bay, AK: Deadmans Bay Airport"
"1001601","Hallo Bay, AK: Hallo Bay Airport"
"1001701","Red Lake, AK: Red Lake Airport"
"1001801","Shell Lake, AK: Shell Lake Airport"
"1001901","Kougarok, AK: Navigator Airstrip"
"1002001","Selawik, AK: Roland Norton Memorial Airstrip"
"1002002","Selawik, AK: Roland Norton Memorial"
"1002101","Pillar Bay, AK: Pillar Bay Airport"
"1002201","Johnstone Point, AK: Johnstone Point Airport"
"1002202","Johnstone Point, AK: Johnstone Point Airport"
"1002301","Tikchik Lodge, AK: Tikchik Lodge Airport"
"1002302","Tikchik Lodge, AK: Tikchik Lodge Airport"
"1002401","Bell Creek, AK: Bell Creek Airport"
"1002501","Cinnabar, AK: Cinnabar Airport"
"1002601","Mountaintop Mine, AK: Mountaintop Mine Airport"
"1002701","Whitebear, AK: Whitebear Airport"
"1002801","Puviaq, AK: Puviaq Airport"
"1002802","Puviaq, AK: Puviaq Airport"
"1002901","Arley Lake, AK: Arley Lake Airport"
"1003001","Port Vita, AK: Port Vita Airport"
"1003101","Kantishna, AK: Kantishna Airport"
"1003201","Lonely, AK: Lonely Air Station"
"1003202","Lonely, AK: Lonely AS"
"1003301","Alpine, AK: Alpine Airstrip"
"1003401","Serpentine, AK: Serpentine Airport"
"1003501","Driftwood Bay, AK: Driftwood Bay Airport"
"1003601","Bradley Lake, AK: Bradley Lake Airport"
"1003701","Chilkat Lake, AK: Chilkat Lake Airport"
"1003801","Nugget Creek, AK: Nugget Creek Airport"
"1003901","Ivotuk, AK: Ivotuk Airstrip"
"1004001","Pogo Mines, AK: Pogo Mines Airport"
"1004101","Ayakulik River, AK: Ayakulik River Airport"
"1004201","Kiluda Bay, AK: Kiluda Bay Airport"
"1004301","Terror Lake, AK: Terror Lake Airport"
"1004401","Selief Bay, AK: Selief Bay Airport"
"1004701","Laura Lake, AK: Laura Lake Airport"
"1004901","Deep Bay, AK: Deep Bay Airport"
"1005001","Kako, AK: Kako Airport"
"1005002","Kako, AK: Kako Airport"
"1005101","Molly Creek, AK: Molly Creek Airport"
"1005201","Ptarmigan Lake, AK: Ptarmigan Lake Airport"
"1005301","Cape Simpson, AK: Cape Simpson Airport"
"1005401","Kogru River, AK: Kogru River Airport"
"1005402","Kogru River, AK: Kogru River Airport"
"1005501","Teshepkuk Lake, AK: Teshepkuk Lake Airport"
"1005601","Kodiak Island, AK: Trident Basin Seaplane Base"
"1005801","Lake Florence, AK: Lake Florence Airport"
"1005901","Lake Hasselborg, AK: Lake Hasselborg Airport"
"1006001","Distin Lake, AK: Distin Lake Airport"
"1006101","Port Hobron, AK: Port Hobron Airport"
"1006201","Mooseville Airstrip, AK: Mooseville Airstrip Airport"
"1006301","Big Bay, AK: Big Bay Airport"
"1006401","Wien Lake, AK: Wien Lake Airport"
