"AC_TYPEID","AC_GROUP","SSD_NAME","MANUFACTURER","LONG_NAME","SHORT_NAME","BEGIN_DATE","END_DATE",
"612",6,"BOEING 737-700/LR","BOEING","BOEING 737-700/700LR","B737-7",1998-01-01,,
"613",6,"AEROSPATL CORVETTE","AEROSPATIALE","AEROSPATIALE CORVETTE","CORVETTE",1990-01-01,,
"614",6,"BOEING 737-800","BOEING","BOEING 737-800","B737-8",1998-01-01,,
"615",6,"BOEING 737-5/600LR","BOEING","BOEING 737-5/600LR","B737-5LR",1998-01-01,,
"616",6,"BOEING 737-500","BOEING","BOEING 737-500","B737-5",1990-01-01,,
"617",6,"BOEING 737-400","BOEING","BOEING 737-400","B737-4",1990-01-01,,
"618",6,"BOEING 737-300LR","BOEING","BOEING 737-300LR","B737-3LR",1990-01-01,,
"619",6,"BOEING 737-300","BOEING","BOEING 737-300","B737-3",1990-01-01,,
"621",6,"BOEING 737-200C","BOEING","BOEING 737-200C","B737-2C",1990-01-01,,
"622",6,"BOEING 757-200","BOEING","BOEING 757-200","B757-2",1990-01-01,,
"623",6,"BOEING 757-300","BOEING","BOEING 757-300","B757-3",1999-01-01,,
"624",6,"BOEING 767-400/ER","BOEING","BOEING 767-400/ER","B767-4",1998-01-01,,
"625",6,"BOEING 767-200/ER","BOEING","BOEING 767-200/ER/EM","B767-2/R",1990-01-01,,
"626",6,"BOEING 767-300/ER","BOEING","BOEING 767-300/300ER","B767-3/R",1990-01-01,,
"627",6,"BOEING 777-200","BOEING","BOEING 777-200ER/200LR/233LR","B777-2",1994-01-01,,
"628",6,"CANADAIR RJ-100/ER","CANADAIR","CANADAIR RJ-100/RJ-100ER","RJ100/ER",1993-03-01,,
"629",6,"RJ-200ER/RJ-440","CANADAIR","CANADAIR RJ-200ER /RJ-440","CRJ-2/4",1997-01-01,,
"630",6,"DOUGLAS DC-9-10","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-9-10","DC-9-10",1990-01-01,,
"631",6,"CANADAIR RJ-700","CANADAIR","CANADAIR RJ-700","RJ-700",1990-01-01,,
"632",6,"DORNIER 328 JET","FAIRCHILD DORNIER","DORNIER 328 JET","DO-328 J",2001-01-01,,
"633",6,"BOEING 737-600","BOEING","BOEING 737-600","B737-6",2002-04-01,,
"635",6,"DOUGLAS DC-9-15F","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-9-15F","DC-9-15F",1990-01-01,,
"640",6,"DOUGLAS DC-9-30","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-9-30","DC-9-30",1990-01-01,,
"645",6,"DOUGLAS DC-9-40","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-9-40","DC-9-40",1990-01-01,,
"650",6,"DOUGLAS DC-9-50","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-9-50","DC-9-50",1990-01-01,,
"654",6,"MD-87","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC9 SUPER 87","MD-87",1996-10-01,,
"655",6,"MD-80,1,2,3,8","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC9 SUPER 80/MD81/82/83/88","MD-80",1990-01-01,,
"656",6,"MD-90","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS MD-90","MD-90",1995-01-01,,
"660",6,"LEAR-23","GATES LEARJET","GATES LEARJET LEAR-23","LEAR-23",1990-01-01,,
"661",6,"LEAR-24","GATES LEARJET","GATES LEARJET LEAR-24","LEAR-24",1990-01-01,,
"662",6,"LEAR-25","GATES LEARJET","GATES LEARJET LEAR-25","LEAR-25",1990-01-01,,
"663",6,"LEAR-35","GATES LEARJET","GATES LEARJET LEAR-31/35/36","LEAR-35",1990-01-01,,
"664",6,"HFB-320 HANSA","HANSA","HFB-320 HANSA","HFB-320",1990-01-01,,
"647",6,"CSSNA CITATION X","CESSNA","CESSNA CITATION X MODEL CE750 X","CE-750X",2006-09-01,,
"775",7,"DASSAULT FALCON 7X","DASSAULT FALCON","DASSAULT FALCON 7X","FALCON",2008-10-01,,
"882",8,"A380-800","AIRBUS INDUSTRIE","AIRBUS INDUSTRAI A380-800","A380-8",2008-07-01,,
"684",6,"BEECH HAWKER 800XP","RAYTHEON BEECHCRAFT","RAYTHEON BEECHCRAFT HAWKER 800XP","800XP",2009-07-01,,
"606",6,"BEECHCRAFT PREMIER","RAYTHEON BEECHCRAFT","RAYTHEON BEECHRAFT 390 PREMIER I","PREMIER",2009-07-01,,
"686",6,"BOMBARDIER LJET45","BOMBARDIER","LEARJET45","LEAR-45",2010-01-01,,
"685",6,"CESSNA 510/560XL","CESSNA","CESSNA 510 MUSTANG/560XL CITATION EXCEL","CE-560XL",2010-01-01,,
"821",8,"BOEING B747-8","BOEING","BOEING B747-8","B747-8F",2010-01-01,,
"433",4,"SOCATA TBM-700","SOCATA","SOCATA TBM-700","TBM-700",2006-09-01,,
"123",1,"CESSNA C-340/335","CESSNA","CESSNA C-340/335","CE-340",2006-09-01,,
"437",4,"BEECH BARON B-58","RAYTHEON BEECHCRAFT","RAYTHEON BEECHCRAFT BARON B-58","BARON",2008-06-01,,
"642",6,"BEECH HAWKER 400XP","RAYTHEON BEECHCRAFT","RAYTHEON BEECHCRAFT HAWKER 400XP","HAWKER",2009-01-01,,
"671",6,"GULFSTREAM G450","GULFSTREAM","GULFSTREAM G450","G450",2006-04-01,,
"415",4,"CESSNA C208B","CESSNA","CESSNA C208B/GRAND CARAVAN","CE-208B",2006-10-01,,
"620",6,"BOEING 737-100/200","BOEING","BOEING 737-100/200","B737-1/2",1990-01-01,,
"482",4,"DHC8-Q400  DASH-8","DEHAVILLAND","DEHAVILLAND DHC8-400 DASH-8","DASH8-Q4",1999-01-01,,
"679",6,"GRUMMAN G-1159","GULFSTREAM","GRUMMAN G-1159 GULFSTREAM II/III","G-III",2009-01-01,,
"609",6,"CHALLENGER 300","BOMBARDIER","BOMBARDIER BD-100-1A10 CHALLENGER 300","BD-300",2010-01-01,,
"607",6,"ANTONOV AN-72/74","ANTONOV","ANTONOV AN-72/74","AN-72/74",2006-09-01,,
"637",6,"BOEING 777-300/ER","BOEING","BOEING 777-300/300ER/333ER","B777-3",2004-03-01,,
"648",6,"GULFSTREAM G200","GULFSTEAM","GULFSTREAM G200","G200",2008-06-01,,
"651",6,"GULFSTEAM G150","GULFSTEAM","GULFSTREAM G150","G150",2008-06-01,,
"652",6,"CANADAIR CL-600","CANADAIR","CANADAIR CL-600 CHALLENGER","CL-600",2008-06-01,,
"653",6,"CESSNA CE-680","CESSNA","CESSNA CE-680 CITATION SOVEREIGN","CE-680",2008-06-01,,
"641",6,"GULFSTREAM G-IV","GULFSTREAM AEROSPACE","GULFSTREAM AEROSPACE G-III/G-IV","G-III/IV",2009-01-01,,
"643",6,"WESTWIND II","ISRAEL AIRCRAFT INDUSTRIES","1124A WESTWIND II","WESTWIND",2009-01-01,,
"683",6,"BOEING B777-F","BOEING","BOEING B777-F","B777-F",2009-07-01,,
"111",1,"BEECH KINGAIR 90","BEECHCRAFT","BEECH KING AIR 90","KING AIR",1990-01-01,,
"823",8,"BOEING 747-200F","BOEING","BOEING 747-200F","B747-2F",1990-01-01,,
"393",3,"AGUSTAWESTLAND 139","AGUSTAWESTLAND","AGUSTAWESTLAND AW139","AW139",2010-01-01,,
"649",6,"TUPOLEV TU-204","TUPOLEV","TUPOLEV TU-204-300","TU-204",2007-12-01,,
"873",8,"A340-200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A340-200","A340-2",1996-09-01,,
"871",8,"A340-300","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A340-300","A340-3",1996-09-01,,
"872",8,"A340-500","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A340-500","A340-5",1996-09-01,,
"874",8,"A340-600","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A340-600","A340-6",1996-09-01,,
"491",4,"DEHAVILLAND DHC8-2","BOMBARDIER","DEHAVILLAND DHC8-200Q DASH-8","DHC8-200",2002-11-01,,
"417",4,"CESSNA 406","CESSNA","CESSNA 406 CARAVAN II","CARAVNII",2002-01-01,,
"666",6,"LEAR 55","GATES LEARJET","LEAR 55","LEAR-55",2002-10-01,,
"455",4,"FAIRCHILD METRO 23","FAIRCHILD","FAIRCHILD METRO 23","METRO 23",2002-10-01,,
"458",4,"BEECH B-350","BEECHCRAFT","BEECHCRAFT SUPER KING AIR","BE-KING",2002-10-01,,
"409",4,"BEECH B-100","BEECHCRAFT","BEECHCRAFT KING AIR B100","BE-B100",2002-10-01,,
"636",6,"CESSNA CITATION","CESSNA","CESSNA CITATION II/ BRAVO","CITATNII",2002-10-01,,
"646",6,"CSSNA CITATIONIII","CESSNA","CESSNA CITATION X MODEL 650/550B/550XL","CITATNX",1978-06-01,,
"411",4,"BEECHCRAFT 65-A90","BEECHCRAFT","BEECH KING AIR 65-A90 QUEEN AIR","BE-65",2002-10-01,,
"484",4,"DHC8-300 DASH 8","DEHAVILLAND","DEHAVILLAND DHC8-300 DASH 8","DHC8-300",1990-01-01,,
"817",8,"BOEING 747-200/300","BOEING","BOEING 747-200/300","B747-2/3",1990-01-01,,
"890",8,"ANTONOV 225","ANTONOV","ANTONOV 225 (6 ENGINE)","AN-225",1990-01-01,,
"644",6,"A-318","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A-318","A318",2003-06-01,,
"474",4,"HAWKER SIDELEY 748","HAWKER SIDDELEY","HAWKER SIDDELEY 748","HAWKER S",2002-10-01,,
"638",6,"CANADAIR CRJ 900","BOMBARDIER","CANADAIR CRJ 900","CRJ-900",2003-03-01,,
"476",4,"PIPER PA-30/31T","PIPER","PIPER PA-30/31T CHEYENNE II XL","PA-31T",2002-10-01,,
"770",7,"FALCON 900","DASSAULT FALCON","DASSAULT FALCON 900","FA-900",2002-10-01,,
"694",6,"A320-100/200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A320-100/200","A320-1/2",1990-01-01,,
"639",6,"CITATIONJET/CJ","CESSNA","CESSNA CITATIONJET/CJ1/CJ2/CJ3","CITATNJ",2003-12-01,,
"687",6,"AIRBUS A330-300","AIRBUS INDUSTRIE","AIRBUS A330-300","A330-3",2004-01-01,,
"677",6,"EMBRAER-170","EMBRAER","EMBRAER 170","EMB-170",2004-03-01,,
"194",1,"PIPER PA-31/T-1020","PIPER","PIPER PA-31 (NAVAJO)/T-1020","NAVAJO",1996-11-01,,
"667",6,"GULFSTREAM V/ G-V","GULFSTREAM AEROSPACE","GULFSTREAM III/V/ G-V EXEC/ G-5/550","G-V",2002-10-01,,
"634",6,"BOEING 737-900","BOEING","BOEING 737-900","B737-9",2002-04-01,,
"658",6,"BOMBARDIER BD-700","BOMBARDIER","BOMBARDIER BD-700 GLOBAL EXPRESS","BD-700",2005-06-01,,
"659",6,"LEARJET 60","BOMBARDIER","BOMBARDIER (GATES) LEARJET 60","LEAR-60",1991-06-01,,
"673",6,"EMBRAER-175","EMBRAER","EMBRAER ERJ-175","ERJ-175",2004-03-01,,
"669",6,"CHALLENGER 604/605","BOMBARDIER","BOMBARDIER CHALLENGER 604/605","CL-604/5",2005-06-01,,
"678",6,"EMBRAER 190","EMBRAER","EMBRAER 190","EMB-190",2005-12-01,,
"668",6,"CHALLENGER 601","BOMBARDIER","CANADAIR (BOMBARDIER) CHALLLENGER 601","CL-601",2005-06-01,,
"771",7,"FALCON 50","DASSAULT FALCON","DASSAULT FALCON 50","FA-50",2002-10-01,,
"665",6,"BAE HS-125","BRITISH AEROSP/HAWKER SIDDELEY","HAWKER SIDDELEY 125","HS-125",1995-01-01,,
"670",6,"ROCKWELL SABRELINR","ROCKWELL","ROCKWELL SABRELINER","SABRELNR",1990-01-01,,
"674",6,"EMBRAER-135","EMBRAER","EMBRAER-135","EMB-135",1998-01-01,,
"675",6,"EMBRAER-145","EMBRAER","EMBRAER-145","EMB-145",1996-01-01,,
"676",6,"EMBRAER-140","EMBRAER","EMBRAER-140","EMB-140",2001-01-01,,
"680",6,"CARAVELLE SE-210","AEROSPATIALE","AEROSPATIALE CARAVELLE SE-210","CARAVLLE",1990-01-01,,
"681",6,"DASSAULT FALCON","DASSAULT-BREGUET","DASSAULT-BREGUET MYSTERE-FALCON","FALCON",1990-01-01,,
"689",6,"A300-600ST(BELUGA)","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A330-600ST (BELUGA)","BELUGA",1998-07-01,,
"690",6,"A300B/C/F-100/200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A300B/C/F-100/200","A300-1/2",1990-01-01,,
"691",6,"A300-600/R/CF/RCF","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A300-600/R/CF/RCF","A300-6",1990-01-01,,
"692",6,"A310-200C/F","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A310-200C/F","A310-2CF",1990-01-01,,
"693",6,"A310-300","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A310-300","A310-3",1990-01-01,,
"695",6,"A300-B2","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A300-B2","A300-B2",1990-01-01,,
"696",6,"A330-200","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A330-200","A330-2",1992-01-01,,
"697",6,"A340","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A340","A340",1992-01-01,,
"698",6,"A319","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A319","A319",1997-01-01,,
"699",6,"A321","AIRBUS INDUSTRIE","AIRBUS INDUSTRIE A321","A321",1990-01-01,,
"710",7,"BOEING 727-100","BOEING","BOEING 727-100","B727-100",1990-01-01,,
"711",7,"BOEING 727-100C/QC","BOEING","BOEING 727-100C/QC","B727-1C",1990-01-01,,
"715",7,"BOEING 727-200","BOEING","BOEING 727-200/231A","B727-2",1990-01-01,,
"730",7,"DOUGLAS DC-10-10","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-10-10","DC-10-10",1990-01-01,,
"731",7,"DOUGLAS DC-10-20","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-10-20","DC-10-20",1990-01-01,,
"732",7,"DOUGLAS DC-10-30","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-10-30","DC-10-30",1990-01-01,,
"733",7,"DOUGLAS DC-10-40","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-10-40","DC-10-40",1990-01-01,,
"735",7,"DOUGLAS DC-10-30CF","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-10-30CF","DC10-30F",1990-01-01,,
"740",7,"MD-11","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS MD-11","MD-11",1990-01-01,,
"760",7,"L-1011-1/100/200","LOCKHEED","LOCKHEED L-1011-1/100/200","L-1011",1990-01-01,,
"765",7,"L-1011-500 TRISTAR","LOCKHEED","LOCKHEED L-1011-500 TRISTAR","L-1011",1990-01-01,,
"780",7,"TUPOLEV 154","TUPOLEV","TUPOLEV TU-154","TU-154",1990-01-01,,
"792",7,"YAKOLEV 42","YAKOLEV","YAKOLEV YAK-42","YAK-42",1990-01-01,,
"800",8,"BOEING 707-100","BOEING","BOEING 707-100","B707-100",1990-01-01,,
"802",8,"BOEING 707-100B","BOEING","BOEING 707-100B","B707-1B",1990-01-01,,
"804",8,"BOEING 707-200","BOEING","BOEING 707-200","B707-2",1990-01-01,,
"806",8,"BOEING 707-300","BOEING","BOEING 707-300","B707-3",1990-01-01,,
"808",8,"BOEING 707-300B","BOEING","BOEING 707-300B","B707-3B",1990-01-01,,
"809",8,"BOEING 707-300C","BOEING","BOEING 707-300C","B707-3C",1990-01-01,,
"810",8,"BOEING 707-400","BOEING","BOEING 707-400","B707-4",1990-01-01,,
"682",6,"DASSAULT 2000EX","DASSAULT","DASSAULT FALCON 2000EX","DA-2000",2006-09-01,,
"812",8,"BOEING 720","BOEING","BOEING 720-000","B720-0",1990-01-01,,
"814",8,"BOEING 720-B","BOEING","BOEING 720-000B","B720-B",1990-01-01,,
"816",8,"BOEING 747-100","BOEING","BOEING 747-100","B747-100",1990-01-01,,
"818",8,"BOEING 747C","BOEING","BOEING 747C","B747C",1990-01-01,,
"819",8,"BOEING 747-400","BOEING","BOEING 747-400","B747-4",1990-01-01,,
"820",8,"BOEING 747-4F","BOEING","BOEING 747-400F","B747-4F",1990-01-01,,
"822",8,"BOEING 747SP","BOEING","BOEING 747SP","B747SP",1990-01-01,,
"825",8,"CONVAIR 880","CONVAIR","CONVAIR 880 (CV-22/22M)","CV-880",1990-01-01,,
"830",8,"CONVAIR 990","CONVAIR","CONVAIR 990 CORONADO (CV-30)","CORONADO",1990-01-01,,
"835",8,"AVROLINER RJ85","AVRO INTERNATIONAL AEROSPACE","AVROLINER RJ85","AV RJ85",1997-01-01,,
"840",8,"DOUGLAS DC-8-10","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-10","DC-8-10",1990-01-01,,
"842",8,"DOUGLAS DC-8-20","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-20","DC-8-20",1990-01-01,,
"844",8,"DOUGLAS DC-8-30","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-30","DC-8-30",1990-01-01,,
"846",8,"DOUGLAS DC-8-40","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-40","DC-8-40",1990-01-01,,
"848",8,"DOUGLAS DC-8-50","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-50","DC-8-50",1990-01-01,,
"850",8,"DOUGLAS DC-8-50F","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-50F","DC-8-50F",1990-01-01,,
"851",8,"DOUGLAS DC-8-61","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-61","DC-8-61",1990-01-01,,
"852",8,"DOUGLAS DC-8-63F","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-63F","DC-8-63F",1990-01-01,,
"854",8,"DOUGLAS DC-8-62","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-62","DC-8-62",1990-01-01,,
"856",8,"DOUGLAS DC-8-63","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-63","DC-8-63",1990-01-01,,
"860",8,"DOUGLAS DC-8-71","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-71","DC-8-71",1990-01-01,,
"862",8,"DOUGLAS DC-8-72","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-72","DC-8-72",1990-01-01,,
"864",8,"DOUGLAS DC-8-73","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-73","DC-8-73",1990-01-01,,
"865",8,"DOUGLAS DC-8-73F","MCDONNELL DOUGLAS","MCDONNELL DOUGLAS DC-8-73F","DC-8-73F",1990-01-01,,
"866",8,"BAE-146-100/RJ70","BRITISH AEROSPACE","BRITISH AEROSPACE BAE-146-100/RJ70","BAE146-1",1990-01-01,,
"867",8,"BAE-146-200","BRITISH AEROSPACE","BRITISH AEROSPACE BAE-146-200","BAE146-2",1990-01-01,,
"868",8,"BAE-146-300","BRITISH AEROSPACE","BRITISH AEROSPACE BAE-146-300","BAE146-3",1990-01-01,,
"870",8,"LOCKHEED JETSTAR","LOCKHEED","LOCKHEED JETSTAR","JETSTAR",1990-01-01,,
"875",8,"CONCORDE","AEROSPATIALE/BRITISH AEROSPACE","AEROSPATIALE/BRITISH AEROSPACE CONCORDE","CONCORDE",1990-01-01,,
"876",8,"ILYUSHIN 62","ILYUSHIN","ILYUSHIN 62","IL-62",1990-01-01,,
"877",8,"ILYUSHIN 76/TD","ILYUSHIN","ILYUSHIN 76/TD","IL-76/TD",1990-01-01,,
"878",8,"ILYUSHIN 86","ILYUSHIN","ILYUSHIN 86","IL-86",1990-01-01,,
"879",8,"ILYUSHIN 96","ILYUSHIN","ILYUSHIN 96","IL-96",1993-03-01,,
"880",8,"ANTONOV 124","ANTONOV","ANTONOV 124","AN-124",1990-01-01,,
"007",0,"AERO COMMANDER 200","ROCKWELL","AERO COMMANDER 200","COMMANDR",1990-01-01,,
"360",3,"ROBINSON R44","ROBINSON","ROBINSON R44","R44",2002-06-01,,
"390",3,"SIKORSKY S-76","SIKORSKY","SIKORSKY S-76","S-76",2002-10-01,,
"485",4,"DEHAVILLAND DHC-6","DEHAVILLAND","DEHAVILLAND TWIN OTTER DHC-6","DHC-6",1990-01-01,,
"459",4,"SAAB-FRCHILD 340/A","SAAB-FAIRCHILD","SAAB-FAIRCHILD 340/A","SF-340/A",2005-09-01,,
"657",6,"BOMBARDIER CRJ 705","BOMBARDIER","BOMBARDIER CRJ 705","CRJ-705",2005-06-01,,
"008",0,"AERO MACCHI AL-60","AERO MACCHI","AERO MACCHI AL-60","AL-60",1990-01-01,,
"009",0,"AERONCA 7-AC","AERONCA","AERONCA 7-AC","AERONCA7",1990-01-01,,
"010",0,"BEECH 35/36","BEECHCRAFT","BEECH BONANZA 35A/C/D/E/G/H/J/K/S/V/  36A","BONANZA",1990-01-01,,
"020",0,"BELLANCA CH-300","BELLANCA","BELLANCA CH-300","CH-300",1990-01-01,,
"024",0,"BEECH B-23","BEECHCRAFT","BEECH B-23 MUSKETEER","MUSKTEER",1990-01-01,,
"029",0,"CESSNA 150/152","CESSNA","CESSNA 150/152","CE-150/2",1990-01-01,,
"030",0,"CESSNA 180","CESSNA","CESSNA 180","CE-180",1990-01-01,,
"031",0,"CESSNA 180A/B","CESSNA","CESSNA 180A/B","CE-180",1990-01-01,,
"032",0,"CESSNA 180C/D/E/F","CESSNA","CESSNA 180C/D/E/F","CE-180C",1990-01-01,,
"033",0,"CESSNA 185A/B/C","CESSNA","CESSNA 185A/B/C SKYWAGON","SKYWAGON",1990-01-01,,
"034",0,"HELIO H250/295/395","HELIO","HELIO H-250/295/395","COURIER",1990-01-01,,
"035",0,"CESSNA 206/207/209","CESSNA","CESSNA C206/207/209/210 STATIONAIR","CE-206/7",1990-01-01,,
"036",0,"CESSNA 172 SKYHAWK","CESSNA","CESSNA 172 SKYHAWK","SKYHAWK",1990-01-01,,
"037",0,"CESSNA 195","CESSNA","CESSNA 195","CE-195",1990-01-01,,
"038",0,"CESSNA CARDINAL","CESSNA","CESSNA 177 CARDINAL","CARDINAL",1990-01-01,,
"039",0,"CESSNA 182 SKYLANE","CESSNA","CESSNA 182 SKYLANE","SKYLANE",1990-01-01,,
"040",0,"DEHAVILLAND DHC2","DEHAVILLAND OF CANADA","DEHAVILLAND DHC2 BEAVER","BEAVER",1990-01-01,,
"041",0,"CESSNA 205","CESSNA","CESSNA 205","CE-205",1990-01-01,,
"042",0,"DEHAVILLAND DHC3","DEHAVILLAND OF CANADA","DEHAVILLAND DHC3 OTTER","OTTER",1990-01-01,,
"044",0,"LAKE LA-4","LAKE","LAKE LA-4","LA-4",1990-01-01,,
"050",0,"HOWARD DGA-15P","HOWARD","HOWARD DGA-15P","DGA-15P",1990-01-01,,
"051",0,"MOONEY M-21","MOONEY","MOONEY M-21","M-21",1990-01-01,,
"052",0,"MOONEY M-20C/E/G","MOONEY","MOONEY M-20C/E/G","M-20C/E",1990-01-01,,
"065",0,"NOORDUYN UC-64AS","NOORDUYN","NOORDUYN UC-64AS","UC-64AS",1990-01-01,,
"070",0,"PILATUS PORTER PC6","PILATUS","PILATUS PORTER PC6","PC6",1990-01-01,,
"071",0,"PILATUS PC6/350","PILATUS","PILATUS PORTER PC6/350","PC6/350",1990-01-01,,
"079",0,"PIPER PA-32","PIPER","PIPER PA-32 (CHEROKEE 6)","PA-32",1990-01-01,,
