"AC_TYPEID","AC_GROUP","SSD_NAME","MANUFACTURER","LONG_NAME","SHORT_NAME","BEGIN_DATE","END_DATE",
"470",4,"GULFSTREAM I","GULFSTREAM AEROSPACE (GRUMMAN)","GULFSTREAM I","G-159",1990-01-01,,
"471",4,"JETSTREAM 41","BRITISH AEROSPACE","BRITISH AEROSPACE JETSTREAM 41","JETST41",1993-03-01,,
"473",4,"GULFSTREAM I COMM","GULFSTREAM AEROSPACE (GRUMMAN)","GULFSTREAM I-COMMANDER","G-159COM",1990-01-01,,
"475",4,"NORD 262","NORD AVIATION","NORD 262","N-262",1990-01-01,,
"477",4,"MOHAWK 298","NORD AVIATION","MOHAWK 298","MO-298",1990-01-01,,
"478",4,"PIPER T-1040","PIPER","PIPER T-1040","PA-T1040",1990-01-01,,
"479",4,"PILATUS PC-12","PILATUS","PILATUS PC-12","PC-12",1999-01-01,,
"480",4,"PILATUS PORTR PC6A","PILATUS","PILATUS TURBO PORTER PC-6A","PC-6A",1990-01-01,,
"481",4,"PILATUS PORTR PC6B","PILATUS","PILATUS TURBO PORTER PC-6B","PC-6B",1990-01-01,,
"483",4,"DHC8-100 DASH 8","DEHAVILLAND","DEHAVILLAND DHC8-100 DASH-8","DASH8-1",1990-01-01,,
"486",4,"SHORT HARLAND SC-7","SHORT BROS.","SHORTS HARLAND SC-7 SKYVAN","SKYVAN",1990-01-01,,
"487",4,"SHORTS 330","SHORT BROS.","SHORTS 330","SHORT330",1990-01-01,,
"488",4,"CARSTEDT CJ-600A","CARSTEDT","CARSTEDT CJ-600A","CJ-600A",1990-01-01,,
"489",4,"SHORTS 360","SHORT BROS.","SHORTS 360","SHORT360",1990-01-01,,
"490",4,"VOLPAR TURBO 18","VOLPAR","VOLPAR TURBO 18","VOLPAR18",1990-01-01,,
"507",5,"ANTONOV 12","ANTONOV DESIGN BUREAU","ANTONOV 12","AN-12",2000-01-01,,
"508",5,"ANTONOV AN-22-F","ANTONOV","ANTONOV AN-22 FREIGHTER","AN-22F",1990-01-01,,
"510",5,"AW-650","ARMSTRONG WHITWORTH","AW-650","AW-650",1990-01-01,,
"520",5,"CANADAIR CL-44D","CANADAIR","CANADAIR CL-44D","CL-44D",1990-01-01,,
"541",5,"ILYUSHIN 18","ILYUSHIN","ILYUSHIN IL-18","IL-18",1990-01-01,,
"550",5,"LOCKHEED L-188A/C","LOCKHEED","LOCKHEED L-188A/C ELECTRA","ELECTRA",1990-01-01,,
"552",5,"LOCKHEED L-382B","LOCKHEED","LOCKHEED L-382B","L-382B",1990-01-01,,
"553",5,"LOCKHEED L100-10","LOCKHEED","LOCKHEED L100-10 HERCULES","HERCULES",1990-01-01,,
"555",5,"LOCKHEED L100-20","LOCKHEED","LOCKHEED L100-20 HERCULES","HERCULES",1990-01-01,,
"556",5,"LOCKHEED L100-30","LOCKHEED","LOCKHEED L100-30/L-382E","HERCULES",1990-01-01,,
"560",5,"SHORTS-BELFAST-SH5","SHORT BROS.","SHORTS BELFAST FREIGHTER-SH5","SH5",1990-01-01,,
"570",5,"DEHAVILLAND DASH-7","DEHAVILLAND","DEHAVILLAND DHC7 DASH-7","DASH-7",1990-01-01,,
"580",5,"VV-700","VICKERS","VICKERS VISCOUNT 700/744/745/745D","VV-700",1990-01-01,,
"584",5,"VV-800","VICKERS","VICKERS VISCOUNT V800/810/812","VV-800",1990-01-01,,
"601",6,"FOKKER F28-1000","FOKKER","FOKKER F28-1000 FELLOWSHIP","F28-1000",1990-01-01,,
"602",6,"F28-4000/6000","FOKKER","FOKKER F28-4000/6000 FELLOWSHIP","F28-4000",1990-01-01,,
"603",6,"FOKKER 100","FOKKER","FOKKER 100","FOKKR100",1990-01-01,,
"604",6,"FOKKER 70","FOKKER","FOKKER 70","FOKKER70",1994-01-01,,
"605",6,"BAC-111-200","BRITISH AEROSPACE","BRITISH AEROSPACE BAC-111-200","BAC-111",1990-01-01,,
"608",6,"BOEING 717-200","BOEING","BOEING 717-200","B717-2",1999-01-01,,
"610",6,"BAC-111-400","BRITISH AEROSPACE","BRITISH AEROSPACE BAC-111-400","BAC-111",1990-01-01,,
"611",6,"AERO COMMNDER 1121","ROCKWELL","AERO COMMANDER 1121","COMMANDR",1990-01-01,,
