Code,Description
"00","Not Applicable"
"01","Alabama"
"02","Alaska"
"04","Arizona"
"05","Arkansas"
"06","California"
"07","U.S. Minor Outlying Islands"
"08","Colorado"
"09","Connecticut"
"10","Delaware"
"11","District of Columbia"
"12","Florida"
"13","Georgia"
"15","Hawaii"
"16","Idaho"
"17","Illinois"
"18","Indiana"
"19","Iowa"
"20","Kansas"
"21","Kentucky"
"22","Louisiana"
"23","Maine"
"24","Maryland"
"25","Massachusetts"
"26","Michigan"
"27","Minnesota"
"28","Mississippi"
"29","Missouri"
"30","Montana"
"31","Nebraska"
"32","Nevada"
"33","New Hampshire"
"34","New Jersey"
"35","New Mexico"
"36","New York"
"37","North Carolina"
"38","North Dakota"
"39","Ohio"
"40","Oklahoma"
"41","Oregon"
"42","Pennsylvania"
"44","Rhode Island"
"45","South Carolina"
"46","South Dakota"
"47","Tennessee"
"48","Texas"
"49","Utah"
"50","Vermont"
"51","Virginia"
"53","Washington"
"54","West Virginia"
"55","Wisconsin"
"56","Wyoming"
"60","American Samoa (Fips Pub 55-3)"
"64","Federal States Of Micronesia (Fips Pub 55-3)"
"66","Guam (Fips Pub 55-3)"
"67","Johnston Atoll"
"68","Marshall Islands (Fips Pub 55-3)"
"69","Northern Mariana Islands (Fips Pub 55-3)"
"70","Palau (Fips Pub 55-3)"
"71","Midway Islands"
"72","Puerto Rico (Fips Pub 55-3)"
"74","U.S. Minor Outlying Islands"
"75","Trust Territory Of Pacific Islands (Obsolete 1987)"
"76","Navassa Island"
"78","Virgin Islands (Fips Pub 55-3)"
"79","Wake Island"
"81","Baker Island"
"84","Howland Island"
"86","Jarvis Island"
"89","Kingman Reef"
"95","Palmyra Atoll"
"96","U.S.Outlying Areas"
"98","States With Population <2,000,000 (Npts)"
