"AIRLINE_ID","CARRIER","CARRIER_ENTITY","CARRIER_NAME","UNIQUE_CARRIER","UNIQUE_CARRIER_ENTITY","UNIQUE_CARRIER_NAME","WAC","CARRIER_GROUP","CARRIER_GROUP_NEW","REGION","START_DATE_SOURCE","THRU_DATE_SOURCE",
20136,"H5","9770B","Magadan Airlines","H5","9770B","Magadan Airlines",770,0,0,"International",1997-10-01,2005-10-31,
20195,"WI","06884","Tradewinds Airlines","WI","06884","Tradewinds Airlines",10,1,4,"Domestic",2011-01-01,2011-12-31,
20195,"WI","16884","Tradewinds Airlines","WI","16884","Tradewinds Airlines",10,1,4,"International",2011-01-01,2011-12-31,
20195,"WI","06884","Tradewinds Airlines","WI","06884","Tradewinds Airlines",10,1,1,"Domestic",2000-01-01,2010-12-31,
20195,"WI","16884","Tradewinds Airlines","WI","16884","Tradewinds Airlines",10,1,1,"International",2000-01-01,2010-12-31,
20195,"WI","06882","Tradewinds Airlines","WI","06882","Tradewinds Airlines",10,1,4,"System",1998-02-01,1999-12-31,
20195,"WI","06884","Tradewinds Airlines","WI","06884","Tradewinds Airlines",10,1,4,"Domestic",1998-02-01,1999-12-31,
20195,"WI","16884","Tradewinds Airlines","WI","16884","Tradewinds Airlines",10,1,4,"International",1998-02-01,1999-12-31,
20195,"WI","06884","Tradewinds Airlines","WI","06884","Tradewinds Airlines",10,1,1,"Domestic",2012-01-01,,
20195,"WI","16884","Tradewinds Airlines","WI","16884","Tradewinds Airlines",10,1,1,"International",2012-01-01,,
21117,"9T","71015","TravelspanGT, Inc. S.A.","9T","71015","TravelspanGT, Inc. S.A.",350,0,0,"International",2006-12-01,,
20502,"MY","07050","MAXjet","MY","07050","MAXjet",10,1,4,"Domestic",2005-11-01,2006-12-31,
20502,"MY","17050","MAXjet","MY","17050","MAXjet",10,1,4,"Atlantic",2005-11-01,2006-12-31,
20502,"MY","17051","MAXjet","MY","17051","MAXjet",10,1,4,"Latin America",2005-11-01,2006-12-31,
20502,"MY","07050","MAXjet","MY","07050","MAXjet",10,1,1,"Domestic",2007-01-01,2007-12-31,
20502,"MY","17050","MAXjet","MY","17050","MAXjet",10,1,1,"Atlantic",2007-01-01,2007-12-31,
20502,"MY","17051","MAXjet","MY","17051","MAXjet",10,1,1,"Latin America",2007-01-01,2007-12-31,
21171,"VX","11020","Virgin America","VX","11020","Virgin America",10,2,2,"Latin America",2010-12-01,,
21171,"VX","01006","Virgin America","VX","01006","Virgin America",10,2,2,"Domestic",2009-01-01,,
21171,"VX","01006","Virgin America","VX","01006","Virgin America",10,1,1,"Domestic",2007-07-01,2008-12-31,
20500,"G7","07041","GoJet Airlines, LLC d/b/a United Express","G7","07041","GoJet Airlines, LLC d/b/a United Express",10,2,2,"Domestic",2008-01-01,,
