"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
1997,1,20408,"3Z","Tatonduk Flying Service","3K","Tatonduk Flying Service",1,4,69,4,73,71,
1997,1,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,4143,151,4294,4219,
1997,1,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",2,2,584,14,598,591,
1997,1,20099,"6F","Laker Airways Inc.","6F","Laker Airways Inc.",1,1,153,0,153,153,
1997,1,19874,"8C","Air Transport International","8C","Air Transport International",2,2,577,85,662,620,
1997,1,20237,"AX","Trans States Airlines","9N","Trans States Airlines",2,2,1503,328,1831,1667,
1997,1,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,72590,13635,86225,79408,
1997,1,19678,"KH","Aloha Air Cargo","AQ","Aloha Airlines Inc.",2,2,1558,681,2239,1899,
1997,1,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,7206,1061,8267,7737,
1997,1,20308,"WE","Centurion Cargo Inc.","C2","Challenge Air Cargo Inc.",1,1,680,3,683,682,
1997,1,20400,"PT","Capital Cargo International","CCQ","Capital Cargo International",1,4,27,1,28,28,
1997,1,20173,"CDQ","Kitty Hawk International","CDQ","American International Airways Inc.",1,1,2253,508,2761,2507,
1997,1,19704,"CO","Continental Air Lines Inc.","CO","Continental Air Lines Inc.",3,3,27149,6295,33444,30297,
1997,1,20017,"CS","Continental Micronesia","CS","Continental Micronesia",2,2,2006,371,2377,2192,
1997,1,20093,"CTQ","Custom Air Transport","CTQ","Custom Air Transport",1,4,108,5,113,111,
1997,1,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,55768,11416,67184,61476,
1997,1,20357,"ER","Astar USA, LLC","ER","DHL Airways",3,3,7062,2459,9521,8292,
1997,1,20366,"EV","Atlantic Southeast Airlines","EV","Atlantic Southeast Airlines",2,2,2172,265,2437,2305,
1997,1,20057,"EZ","Evergreen International Inc.","EZ","Evergreen International Inc.",2,2,405,25,430,418,
1997,1,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",1,1,609,102,711,660,
1997,1,20203,"FCQ","Falcon Air Express","FCQ","Falcon Air Express",1,4,33,0,33,33,
1997,1,19787,"FDQ","Great American Airways","FDQ","Great American Airways",1,1,220,13,233,227,
1997,1,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.",2,2,1125,357,1482,1304,
1997,1,20437,"FL","AirTran Airways Corporation","FL","AirTran Airways Corporation",1,1,466,71,537,502,
1997,1,20191,"FNQ","Fine Airlines Inc.","FNQ","Fine Airlines Inc.",1,1,750,0,750,750,
1997,1,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,76075,50171,126246,101161,
1997,1,20193,"GR","Gemini Air Cargo Airways","GR","Gemini Air Cargo Airways",1,1,174,0,174,174,
1997,1,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",2,2,2162,354,2516,2339,
