"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
1997,1,19972,"HCQ","Av Atlantic","HCQ","Av Atlantic",1,1,160,68,228,194,
1997,1,19991,"HP","America West Airlines Inc.","HP","America West Airlines Inc.",3,3,8696,2324,11020,9858,
1997,1,20243,"J7","Valujet Airlines Inc.","J7","Valujet Airlines Inc.",2,2,1270,486,1756,1513,
1997,1,20297,"JI (1)","Midway Airlines Inc.","JI","Midway Airlines Inc.",2,2,621,214,835,728,
1997,1,20218,"JKQ","Express One International Inc.","JKQ","Express One International Inc.",1,1,358,53,411,385,
1997,1,20194,"JW","Arrow Air Inc.","JW","Arrow Air Inc.",1,1,331,6,337,334,
1997,1,20299,"JX","Southeast Airlines","JX","Sun Jet International Inc.",1,4,209,33,242,226,
1997,1,20143,"KP","Kiwi International","KP","Kiwi International",1,1,378,81,459,419,
1997,1,20302,"KR","Kitty Hawk Aircargo","KR","Kitty Hawk Aircargo",1,1,303,0,303,303,
1997,1,19952,"KW","Carnival Air Lines Inc.","KW","Carnival Air Lines Inc.",2,2,1260,323,1583,1422,
1997,1,19812,"LBQ","Millon Air Inc.","LBQ","Millon Air Inc.",1,1,19,0,19,19,
1997,1,20094,"LF","Jettrain Airlines","LF","Jettrain Airlines",1,1,13,0,13,13,
1997,1,20204,"MG","Champion Air","MG","Champion Air",1,1,166,1,167,167,
1997,1,20402,"GL","Miami Air International","MMQ","Miami Air International",1,1,317,13,330,324,
1997,1,20398,"MQ","American Eagle Airlines Inc.","MQ","Simmons Airlines",2,2,3727,512,4239,3983,
1997,1,20412,"N5 (1)","Nations Air Express Inc.","N5","Nations Air Express Inc.",1,1,100,0,100,100,
1997,1,20414,"OW","Executive Airlines","NA","Executive Airlines",2,2,931,568,1499,1215,
1997,1,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,202,22,224,213,
1997,1,20192,"NJ","Vanguard Airlines Inc.","NJ","Vanguard Airlines Inc.",1,1,373,81,454,414,
1997,1,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",1,1,420,100,520,470,
1997,1,19386,"NW","Northwest Airlines Inc.","NW","Northwest Airlines Inc.",3,3,44739,2608,47347,46043,
1997,1,20097,"OI","Prestige Airways","OI","Prestige Airways",1,1,88,27,115,102,
1997,1,20305,"PCQ","Pace Airlines","PCQ","Pace Airlines",1,4,9,4,13,11,
1997,1,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",2,2,345,103,448,397,
1997,1,20149,"PRQ","Florida West Airlines Inc.","PRQ","Florida West Airlines Inc.",1,4,29,1,30,30,
1997,1,19687,"QX","Horizon Air","QX","Horizon Air",2,2,2950,32,2982,2966,
1997,1,20074,"REQ","Renown Aviation","REQ","Renown Aviation",1,1,87,0,87,87,
1997,1,19392,"RIQ","Rich International Airways","RIQ","Rich International Airways",1,1,33,10,43,38,
1997,1,20374,"XE","ExpressJet Airlines Inc.","RU","ExpressJet Airlines Inc.",2,2,2203,179,2382,2293,
1997,1,19385,"RV","Reeve Aleutian Airways Inc.","RV","Reeve Aleutian Airways Inc.",1,1,278,60,338,308,
1997,1,20344,"RD","Ryan International Airlines","RYQ","Ryan International Airlines",1,1,639,14,653,646,
1997,1,20042,"SAQ","Southern Air Transport Inc.","SAQ","Southern Air Transport Inc.",2,2,494,157,651,573,
1990,1,19828,"GM","Air America","GM","Air America",1,1,174,7,181,178,
1990,1,19874,"8C","Air Transport International","8C","Air Transport International",2,2,108,4,112,110,
1997,1,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,39,0,39,39,
1997,1,20106,"SM","Sunworld International Airlines","SM","Sunworld International Airlines",1,4,32,0,32,32,
1997,1,20146,"SPQ","Sun Pacific International","SPQ","Sun Pacific International",1,4,103,3,106,105,
1997,1,20422,"SY","Sun Country Airlines d/b/a Mn Airlines","SYQ","Sun Country Airlines",1,1,1060,56,1116,1088,
1997,1,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines",1,4,254,0,254,254,
1997,1,19982,"TB","USAir Shuttle","TB","USAir Shuttle",2,2,522,54,576,549,
1997,1,20284,"TCQ","Express.Net Airlines","TCQ","Trans Continental Airlines",1,4,128,3,131,130,
1997,1,19658,"TKQ","Trans-Air-Link Corporation","TKQ","Trans-Air-Link Corporation",1,4,29,3,32,31,
1997,1,19898,"TNQ","Emery Worldwide Airlines","TNQ","Emery Worldwide Airlines",2,2,872,41,913,893,
1997,1,20211,"TW","Trans World Airways LLC","TW","Trans World Airlines Inc.",3,3,24076,2041,26117,25097,
1997,1,20312,"TZ","ATA Airlines d/b/a ATA","TZ","American Trans Air Inc.",2,2,3869,523,4392,4131,
1997,1,20033,"U2","UFS Inc.","U2","UFS Inc.",1,1,390,117,507,449,
1997,1,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",1,1,289,14,303,296,
1997,1,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,75395,10794,86189,80792,
1997,1,20355,"US","US Airways Inc.","US","USAir",3,3,37263,5048,42311,39787,
1997,1,20078,"W7","Western Pacific Airlines","W7","Western Pacific Airlines",2,2,874,375,1249,1062,
1997,1,20168,"W9","Eastwind Airlines Inc.","W9","Eastwind Airlines Inc.",1,4,22,49,71,47,
1997,1,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,22839,887,23726,23283,
1997,1,20095,"WO","World Airways Inc.","WO","World Airways Inc.",2,2,726,70,796,761,
1997,1,20060,"WV (1)","Air South Inc. (1)","WV","Air South Inc.",1,1,478,158,636,557,
1997,1,20377,"X9","Omni Air Express","X9","Omni Air Express",1,1,42,0,42,42,
1997,1,20415,"NA","North American Airlines","XG","North American Airlines",1,1,136,19,155,146,
1997,1,20207,"XP","Casino Express","XP","Casino Express",1,4,105,0,105,105,
1997,1,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,2078,284,2362,2220,
1997,1,20314,"YX (1)","Midwest Airline, Inc.","YX","Midwest Express Airlines",2,2,1478,166,1644,1561,
1997,1,20379,"ZKQ","Zantop International","ZKQ","Zantop International",1,1,843,35,878,861,
1997,1,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,746,98,844,795,
1997,2,20408,"3Z","Tatonduk Flying Service","3K","Tatonduk Flying Service",1,4,76,3,79,78,
1997,2,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,4191,144,4335,4263,
1997,2,20099,"6F","Laker Airways Inc.","6F","Laker Airways Inc.",1,1,150,0,150,150,
1997,2,19874,"8C","Air Transport International","8C","Air Transport International",2,2,575,85,660,618,
1997,2,20237,"AX","Trans States Airlines","9N","Trans States Airlines",2,2,1499,331,1830,1665,
1997,2,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,72365,13735,86100,79233,
1997,2,19678,"KH","Aloha Air Cargo","AQ","Aloha Airlines Inc.",2,2,1558,682,2240,1899,
1997,2,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,7253,1082,8335,7794,
1997,2,20308,"WE","Centurion Cargo Inc.","C2","Challenge Air Cargo Inc.",1,1,608,3,611,610,
1997,2,20400,"PT","Capital Cargo International","CCQ","Capital Cargo International",1,4,27,1,28,28,
1997,2,20173,"CDQ","Kitty Hawk International","CDQ","American International Airways Inc.",1,1,2372,494,2866,2619,
1997,2,19704,"CO","Continental Air Lines Inc.","CO","Continental Air Lines Inc.",3,3,27314,6237,33551,30433,
1997,2,20017,"CS","Continental Micronesia","CS","Continental Micronesia",2,2,1451,466,1917,1684,
1997,2,20093,"CTQ","Custom Air Transport","CTQ","Custom Air Transport",1,4,108,5,113,111,
1997,2,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,55995,11309,67304,61650,
1997,2,20357,"ER","Astar USA, LLC","ER","DHL Airways",3,3,7078,2462,9540,8309,
1997,2,20366,"EV","Atlantic Southeast Airlines","EV","Atlantic Southeast Airlines",2,2,2170,263,2433,2302,
1997,2,20057,"EZ","Evergreen International Inc.","EZ","Evergreen International Inc.",2,2,403,25,428,416,
1997,2,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",1,1,615,98,713,664,
1997,2,20203,"FCQ","Falcon Air Express","FCQ","Falcon Air Express",1,4,75,0,75,75,
1997,2,19787,"FDQ","Great American Airways","FDQ","Great American Airways",1,1,231,13,244,238,
1997,2,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.",2,2,1138,343,1481,1310,
1997,2,20437,"FL","AirTran Airways Corporation","FL","AirTran Airways Corporation",1,1,491,95,586,539,
1997,2,20191,"FNQ","Fine Airlines Inc.","FNQ","Fine Airlines Inc.",1,1,750,0,750,750,
1997,2,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,76327,50229,126556,101442,
1997,2,20193,"GR","Gemini Air Cargo Airways","GR","Gemini Air Cargo Airways",1,1,186,0,186,186,
1997,2,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",2,2,2163,353,2516,2340,
1997,2,19991,"HP","America West Airlines Inc.","HP","America West Airlines Inc.",3,3,8859,2434,11293,10076,
1997,2,20243,"J7","Valujet Airlines Inc.","J7","Valujet Airlines Inc.",2,2,1323,634,1957,1640,
1997,2,20151,"M6","Amerijet International","JH","Amerijet International",1,1,413,91,504,459,
1997,2,20297,"JI (1)","Midway Airlines Inc.","JI","Midway Airlines Inc.",2,2,610,203,813,712,
1997,2,20218,"JKQ","Express One International Inc.","JKQ","Express One International Inc.",1,1,358,53,411,385,
1997,2,20194,"JW","Arrow Air Inc.","JW","Arrow Air Inc.",1,1,345,4,349,347,
1997,2,20299,"JX","Southeast Airlines","JX","Sun Jet International Inc.",1,4,165,27,192,179,
1997,2,20143,"KP","Kiwi International","KP","Kiwi International",1,1,444,75,519,482,
1997,2,20302,"KR","Kitty Hawk Aircargo","KR","Kitty Hawk Aircargo",1,1,291,0,291,291,
1997,2,19952,"KW","Carnival Air Lines Inc.","KW","Carnival Air Lines Inc.",2,2,1327,174,1501,1414,
1997,2,19812,"LBQ","Millon Air Inc.","LBQ","Millon Air Inc.",1,1,17,0,17,17,
1997,2,20094,"LF","Jettrain Airlines","LF","Jettrain Airlines",1,1,17,0,17,17,
1997,2,20204,"MG","Champion Air","MG","Champion Air",1,1,151,1,152,152,
1997,2,20402,"GL","Miami Air International","MMQ","Miami Air International",1,1,321,15,336,329,
1997,2,20398,"MQ","American Eagle Airlines Inc.","MQ","Simmons Airlines",2,2,3720,525,4245,3983,
1997,2,20412,"N5 (1)","Nations Air Express Inc.","N5","Nations Air Express Inc.",1,1,117,0,117,117,
1997,2,20414,"OW","Executive Airlines","NA","Executive Airlines",2,2,919,559,1478,1199,
1997,2,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,205,15,220,213,
1997,2,20192,"NJ","Vanguard Airlines Inc.","NJ","Vanguard Airlines Inc.",1,1,388,87,475,432,
1997,2,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",1,1,400,140,540,470,
1997,2,19386,"NW","Northwest Airlines Inc.","NW","Northwest Airlines Inc.",3,3,44992,2563,47555,46274,
1997,2,20097,"OI","Prestige Airways","OI","Prestige Airways",1,1,69,22,91,80,
1997,2,20386,"PA (2)","Pan American World Airways","OP","Pan American World Airways",1,1,463,4,467,465,
1997,2,20305,"PCQ","Pace Airlines","PCQ","Pace Airlines",1,4,9,4,13,11,
1997,2,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",2,2,353,16,369,361,
1997,2,20149,"PRQ","Florida West Airlines Inc.","PRQ","Florida West Airlines Inc.",1,4,29,1,30,30,
1997,2,19687,"QX","Horizon Air","QX","Horizon Air",2,2,2503,423,2926,2715,
1997,2,20074,"REQ","Renown Aviation","REQ","Renown Aviation",1,1,88,0,88,88,
1997,2,19392,"RIQ","Rich International Airways","RIQ","Rich International Airways",1,1,30,5,35,33,
1997,2,20374,"XE","ExpressJet Airlines Inc.","RU","ExpressJet Airlines Inc.",2,2,2016,377,2393,2205,
1997,2,19385,"RV","Reeve Aleutian Airways Inc.","RV","Reeve Aleutian Airways Inc.",1,1,283,54,337,310,
1997,2,20344,"RD","Ryan International Airlines","RYQ","Ryan International Airlines",1,1,661,14,675,668,
1990,1,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Inc.",2,2,1352,43,1395,1374,
1997,2,20042,"SAQ","Southern Air Transport Inc.","SAQ","Southern Air Transport Inc.",2,2,515,156,671,593,
1990,1,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,4993,714,5707,5350,
1997,2,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,39,0,39,39,
1997,2,20106,"SM","Sunworld International Airlines","SM","Sunworld International Airlines",1,4,32,0,32,32,
1997,2,20146,"SPQ","Sun Pacific International","SPQ","Sun Pacific International",1,4,124,2,126,125,
1997,2,20422,"SY","Sun Country Airlines d/b/a Mn Airlines","SYQ","Sun Country Airlines",1,1,1046,52,1098,1072,
1997,2,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines",1,4,279,0,279,279,
1997,2,19982,"TB","USAir Shuttle","TB","USAir Shuttle",2,2,528,51,579,554,
1997,2,20284,"TCQ","Express.Net Airlines","TCQ","Trans Continental Airlines",1,4,143,3,146,145,
1997,2,19658,"TKQ","Trans-Air-Link Corporation","TKQ","Trans-Air-Link Corporation",1,4,27,2,29,28,
1997,2,19898,"TNQ","Emery Worldwide Airlines","TNQ","Emery Worldwide Airlines",2,2,884,41,925,905,
1997,2,20211,"TW","Trans World Airways LLC","TW","Trans World Airlines Inc.",3,3,23793,2060,25853,24823,
1997,2,20312,"TZ","ATA Airlines d/b/a ATA","TZ","American Trans Air Inc.",2,2,3867,589,4456,4162,
1997,2,20033,"U2","UFS Inc.","U2","UFS Inc.",1,1,391,119,510,451,
1997,2,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",1,1,290,15,305,298,
1997,2,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,75387,10913,86300,80844,
1997,2,20355,"US","US Airways Inc.","US","US Airways Inc.",3,3,37487,4978,42465,39976,
1997,2,20078,"W7","Western Pacific Airlines","W7","Western Pacific Airlines",2,2,915,438,1353,1134,
1997,2,20168,"W9","Eastwind Airlines Inc.","W9","Eastwind Airlines Inc.",1,4,23,53,76,50,
1997,2,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,23027,880,23907,23467,
1997,2,20095,"WO","World Airways Inc.","WO","World Airways Inc.",2,2,709,55,764,737,
1997,2,20060,"WV (1)","Air South Inc. (1)","WV","Air South Inc.",1,1,498,155,653,576,
1997,2,20377,"X9","Omni Air Express","X9","Omni Air Express",1,1,43,0,43,43,
1997,2,20415,"NA","North American Airlines","XG","North American Airlines",1,1,131,20,151,141,
1997,2,20207,"XP","Casino Express","XP","Casino Express",1,4,105,0,105,105,
1997,2,20314,"YX (1)","Midwest Airline, Inc.","YX","Midwest Express Airlines",2,2,1500,166,1666,1583,
1997,2,20379,"ZKQ","Zantop International","ZKQ","Zantop International",1,1,854,32,886,870,
1997,2,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,749,101,850,800,
1997,3,20408,"3Z","Tatonduk Flying Service","3K","Tatonduk Flying Service",1,4,77,3,80,79,
1997,3,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,4215,134,4349,4282,
1997,3,20099,"6F","Laker Airways Inc.","6F","Laker Airways Inc.",1,1,193,0,193,193,
1997,3,19874,"8C","Air Transport International","8C","Air Transport International",2,2,577,103,680,629,
1997,3,20237,"AX","Trans States Airlines","9N","Trans States Airlines",2,2,1494,330,1824,1659,
1997,3,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,72069,14177,86246,79158,
1997,3,19678,"KH","Aloha Air Cargo","AQ","Aloha Airlines Inc.",2,2,1553,678,2231,1892,
1997,3,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,7284,1088,8372,7828,
1997,3,20308,"WE","Centurion Cargo Inc.","C2","Challenge Air Cargo Inc.",1,1,551,3,554,553,
1997,3,20400,"PT","Capital Cargo International","CCQ","Capital Cargo International",1,4,28,1,29,29,
1997,3,20173,"CDQ","Kitty Hawk International","CDQ","American International Airways Inc.",1,1,2417,431,2848,2633,
1997,3,19704,"CO","Continental Air Lines Inc.","CO","Continental Air Lines Inc.",3,3,27451,6315,33766,30609,
1997,3,20017,"CS","Continental Micronesia","CS","Continental Micronesia",2,2,1455,467,1922,1689,
1997,3,20093,"CTQ","Custom Air Transport","CTQ","Custom Air Transport",1,4,108,5,113,111,
1997,3,20357,"ER","Astar USA, LLC","ER","DHL Airways",3,3,7102,2495,9597,8350,
1997,3,20366,"EV","Atlantic Southeast Airlines","EV","Atlantic Southeast Airlines",2,2,2179,277,2456,2318,
1997,3,20057,"EZ","Evergreen International Inc.","EZ","Evergreen International Inc.",2,2,415,22,437,426,
1997,3,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",1,1,630,108,738,684,
1997,3,20203,"FCQ","Falcon Air Express","FCQ","Falcon Air Express",1,4,76,0,76,76,
1997,3,19787,"FDQ","Great American Airways","FDQ","Great American Airways",1,1,201,21,222,212,
1997,3,20088,"FF","Tower Air Inc.","FF","Tower Air Inc.",2,2,1185,338,1523,1354,
1997,3,20437,"FL","AirTran Airways Corporation","FL","AirTran Airways Corporation",1,1,466,71,537,502,
1997,3,20191,"FNQ","Fine Airlines Inc.","FNQ","Fine Airlines Inc.",1,1,756,0,756,756,
1997,3,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,76861,50446,127307,102084,
1997,3,20193,"GR","Gemini Air Cargo Airways","GR","Gemini Air Cargo Airways",1,1,201,0,201,201,
1997,3,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",2,2,2169,346,2515,2342,
1997,3,19991,"HP","America West Airlines Inc.","HP","America West Airlines Inc.",3,3,8942,2500,11442,10192,
1997,3,20243,"J7","Valujet Airlines Inc.","J7","Valujet Airlines Inc.",2,2,1559,328,1887,1723,
1997,3,20151,"M6","Amerijet International","JH","Amerijet International",1,1,413,91,504,459,
1997,3,20297,"JI (1)","Midway Airlines Inc.","JI","Midway Airlines Inc.",2,2,610,203,813,712,
1997,3,20218,"JKQ","Express One International Inc.","JKQ","Express One International Inc.",1,1,409,51,460,435,
1997,3,20194,"JW","Arrow Air Inc.","JW","Arrow Air Inc.",1,1,345,6,351,348,
1997,3,20299,"JX","Southeast Airlines","JX","Sun Jet International Inc.",1,4,157,27,184,171,
1997,3,20143,"KP","Kiwi International","KP","Kiwi International",1,1,442,106,548,495,
1997,3,20302,"KR","Kitty Hawk Aircargo","KR","Kitty Hawk Aircargo",1,1,298,0,298,298,
1997,3,19952,"KW","Carnival Air Lines Inc.","KW","Carnival Air Lines Inc.",2,2,1514,160,1674,1594,
1997,3,19812,"LBQ","Millon Air Inc.","LBQ","Millon Air Inc.",1,1,23,0,23,23,
1997,3,20204,"MG","Champion Air","MG","Champion Air",1,1,149,4,153,151,
1997,3,20402,"GL","Miami Air International","MMQ","Miami Air International",1,1,347,17,364,356,
1997,3,20398,"MQ","American Eagle Airlines Inc.","MQ","Simmons Airlines",2,2,3541,501,4042,3792,
1997,3,20412,"N5 (1)","Nations Air Express Inc.","N5","Nations Air Express Inc.",1,1,118,0,118,118,
1997,3,20414,"OW","Executive Airlines","NA","Executive Airlines",2,2,919,540,1459,1189,
1997,3,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,212,5,217,215,
1997,3,20192,"NJ","Vanguard Airlines Inc.","NJ","Vanguard Airlines Inc.",1,1,430,99,529,480,
1997,3,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",1,1,400,140,540,470,
1997,3,19386,"NW","Northwest Airlines Inc.","NW","Northwest Airlines Inc.",3,3,45100,2528,47628,46364,
1997,3,20097,"OI","Prestige Airways","OI","Prestige Airways",1,1,55,21,76,66,
1997,3,20386,"PA (2)","Pan American World Airways","OP","Pan American World Airways",1,1,506,4,510,508,
1997,3,20305,"PCQ","Pace Airlines","PCQ","Pace Airlines",1,4,9,4,13,11,
1997,3,20125,"PNQ","Panagra Airways","PNQ","Panagra Airways",1,1,37,1,38,38,
1997,3,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",2,2,388,112,500,444,
1997,3,20149,"PRQ","Florida West Airlines Inc.","PRQ","Florida West Airlines Inc.",1,4,29,1,30,30,
1997,3,19687,"QX","Horizon Air","QX","Horizon Air",2,2,2489,423,2912,2701,
1997,3,20074,"REQ","Renown Aviation","REQ","Renown Aviation",1,1,90,0,90,90,
1997,3,19392,"RIQ","Rich International Airways","RIQ","Rich International Airways",1,1,22,6,28,25,
1997,3,20374,"XE","ExpressJet Airlines Inc.","RU","ExpressJet Airlines Inc.",2,2,2029,348,2377,2203,
1997,3,19385,"RV","Reeve Aleutian Airways Inc.","RV","Reeve Aleutian Airways Inc.",1,1,287,56,343,315,
1990,1,19678,"KH","Aloha Air Cargo","AQ","Aloha Airlines Inc.",2,2,1358,398,1756,1557,
1997,3,20344,"RD","Ryan International Airlines","RYQ","Ryan International Airlines",1,1,659,14,673,666,
1997,3,20042,"SAQ","Southern Air Transport Inc.","SAQ","Southern Air Transport Inc.",2,2,521,155,676,599,
1990,1,19991,"HP","America West Airlines Inc.","HP","America West Airlines Inc.",3,3,8824,2138,10962,9893,
1997,3,20106,"SM","Sunworld International Airlines","SM","Sunworld International Airlines",1,4,34,0,34,34,
1997,3,20146,"SPQ","Sun Pacific International","SPQ","Sun Pacific International",1,4,127,3,130,129,
1997,3,20422,"SY","Sun Country Airlines d/b/a Mn Airlines","SYQ","Sun Country Airlines",1,1,1022,52,1074,1048,
1997,3,20147,"T9","TransMeridian Airlines","T9","TransMeridian Airlines",1,4,253,0,253,253,
1997,3,19982,"TB","USAir Shuttle","TB","USAir Shuttle",2,2,525,52,577,551,
1997,3,20284,"TCQ","Express.Net Airlines","TCQ","Trans Continental Airlines",1,4,141,2,143,142,
1997,3,19658,"TKQ","Trans-Air-Link Corporation","TKQ","Trans-Air-Link Corporation",1,4,26,1,27,27,
1997,3,19898,"TNQ","Emery Worldwide Airlines","TNQ","Emery Worldwide Airlines",2,2,888,41,929,909,
1997,3,20211,"TW","Trans World Airways LLC","TW","Trans World Airlines Inc.",3,3,23602,2060,25662,24632,
1997,3,20312,"TZ","ATA Airlines d/b/a ATA","TZ","American Trans Air Inc.",2,2,3843,593,4436,4140,
1997,3,20033,"U2","UFS Inc.","U2","UFS Inc.",1,1,387,111,498,443,
1997,3,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",1,1,249,4,253,251,
1997,3,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,75655,10788,86443,81049,
1997,3,20355,"US","US Airways Inc.","US","US Airways Inc.",3,3,37504,4921,42425,39965,
1997,3,20078,"W7","Western Pacific Airlines","W7","Western Pacific Airlines",2,2,895,444,1339,1117,
1997,3,20168,"W9","Eastwind Airlines Inc.","W9","Eastwind Airlines Inc.",1,4,25,60,85,55,
1997,3,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,23544,436,23980,23762,
1997,3,20095,"WO","World Airways Inc.","WO","World Airways Inc.",2,2,673,72,745,709,
1997,3,20060,"WV (1)","Air South Inc. (1)","WV","Air South Inc.",1,1,510,157,667,589,
1997,3,20377,"X9","Omni Air Express","X9","Omni Air Express",1,1,42,0,42,42,
1997,3,20415,"NA","North American Airlines","XG","North American Airlines",1,1,129,20,149,139,
1997,3,20207,"XP","Casino Express","XP","Casino Express",1,4,105,0,105,105,
1997,3,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,2130,281,2411,2271,
1997,3,20379,"ZKQ","Zantop International","ZKQ","Zantop International",1,1,848,34,882,865,
1997,3,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,732,101,833,783,
1997,4,20408,"3Z","Tatonduk Flying Service","3K","Tatonduk Flying Service",1,4,88,6,94,91,
